"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"Marion, OH","OH",383,788,-0.00755667506297229,-0.0112923462986198,0.019404915912031,1514
2016-11-30,"Morehead City, NC","NC",384,1130,-0.00264783759929391,-0.00264783759929391,-0.0122377622377622,9027
2016-11-30,"Klamath Falls, OR","OR",385,632,0.0128205128205128,0.025974025974026,-0.0971428571428571,852
2016-11-30,"Marshall, TX","TX",386,1057,-0.0222016651248844,-0.0528673835125448,-0.0275988960441582,284
2016-11-30,"Clearlake, CA","CA",387,1242,0.0171990171990172,0.0534351145038168,0.104,420
2016-11-30,"Hutchinson, KS","KS",388,833,-0.0245901639344262,-0.0291375291375291,-0.0245901639344262,1273
2016-11-30,"Faribault, MN","MN",389,1242,0.0130505709624796,0.0239076669414674,0.0725388601036269,2632
2016-11-30,"Elizabeth City, NC","NC",390,910,-0.00109769484083425,-0.0256959314775161,-0.0329436769394261,446
2016-11-30,"Ionia, MI","MI",391,943,0.00963597430406852,-0.0278350515463918,-0.0493951612903226,157
2016-11-30,"Red Bluff, CA","CA",392,971,0.0178197064989518,0.0275132275132275,-0.0270541082164329,861
2016-11-30,"Hudson, NY","NY",393,1370,0.0133136094674556,0.0378787878787879,-0.0345313601127555,1802
2016-11-30,"Walla Walla, WA","WA",394,821,0.0135802469135802,0.0135802469135802,-0.0352526439482961,684
2016-11-30,"Sayre, PA","PA",395,962,-0.00310880829015544,-0.0123203285420945,-0.0223577235772358,325
2016-11-30,"Baraboo, WI","WI",396,873,-0.00228571428571429,-0.00569476082004556,-0.0068259385665529,465
2016-11-30,"Marietta, OH","OH",397,914,-0.00544069640914037,-0.0118918918918919,0.0339366515837104,611
2016-11-30,"Rutland, VT","VT",398,1401,-0.000713266761768902,-0.0404109589041096,-0.010593220338983,1035
2016-11-30,"Fremont, OH","OH",399,1002,-0.00298507462686567,-0.00988142292490119,0.0193285859613428,874
